SPILLNO-------,S,OWNCO--------------------,OWNSTREET-----------,OWNCITY-------------,OS,OZIP,TY,DIDATE----,SPLOC     -------------------------,SPCITY-------------------,SPCOUN-------------------,MATERIAL----------------------,SFM_ID--,FAC_NAME-----------------
AP8728,5,TRINITY LUTHERAN SCHOOL,208 W 13TH ST,GRAND ISLAND,NE,68802,14,1998-10-22,208 W 13TH ST,GRAND ISLAND,HALL,HEATING OIL,8728,TRINITY LUTHERAN SCHOOL
AP8730,5,MIDLAND LUTHERAN COLLEGE,900 N CLARKSON,FREMONT,NE,68025,14,1997-07-01,"9TH & LOGAN, STUDENT CENTER",FREMONT,DODGE,HEATING OIL,8730,STUDENT CENTER
AP8731,5,MILTON G WALDBAUM,105 N MAIN STREET,WAKEFIELD,NE,68784,7,1997-06-11,BIG RED COMPLEX (2N 1-1/2E),WAKEFIELD,DIXON,DIESEL,8731,BIG RED FARMS
AP8735,5,STERLING PUBLIC SCHOOLS,250 MAIN ST,STERLING,NE,68443,14,1998-01-14,250 MAIN ST,STERLING,JOHNSON,DIESEL,8735,STERLING PUBLIC SCHOOLS
AP8739,5,BAKER AUTO SALES,BOX 158,SPRINGVIEW,NE,68778,7,1998-08-12,HIWAY 183,SPRINGVIEW,KEYA PAHA,DIESEL,8739,BAKER AUTO SALES
AP8753,5,LINCOLN PUBLIC SCHOOLS,5901 O ST,LINCOLN,NE,68510,14,1998-01-09,1024 S 37TH ST,LINCOLN,LANCASTER,DIESEL,8753,RANDOLPH ELEMENTARY SCH
AP8759,5,LINCOLN PUBLIC SCHOOLS,6901 O ST,LINCOLN,NE,68510,14,1998-01-06,3709 S 46TH ST,LINCOLN,LANCASTER,DIESEL,8759,CALVERT ELEMENTARY
AP8778,5,YMCA - LINCOLN,1039 P ST,LINCOLN,NE,68508,14,1997-12-09,1039 P ST,LINCOLN,LANCASTER,DIESEL,8778,YMCA - LINCOLN
AP8779,5,HUMBOLT PUBLIC SCHOOLS,RT 1 BOX 31,HUMBOLT,NE,68376,7,1994-09-15,810 CENTRAL AVE,HUMBOLDT,RICHARDSON,DIESEL,8779,HUMBOLT PUBLIC SCHOOLS
AP8781,5,SIOUX COUNTY COURTHOUSE,MAIN ST,HARRISON,NE,69346,14,2000-07-25,MAIN ST,HARRISON,SIOUX,HEATING OIL,8781,SIOUX COUNTY COURTHOUSE
AP8791,5,NBC CENTER,1248 'O' ST,LINCOLN,NE,68508,14,1998-06-19,13TH & 'P' STS,LINCOLN,LANCASTER,#2 DIESEL,8791,NBC CENTER
AP8823,5,HOWELLS COMM CATHOLIC SCH,114 N 6TH ST,HOWELLS,NE,68641,14,1998-11-19,114 N 6TH ST,HOWELLS,COLFAX,#2 HEATING OIL,8823,HOWELLS COMM CATHOLIC SCH
AP8824,5,TABITHA HEALTH CARE,4720 RANDOLPH,LINCOLN,NE,68510,14,1999-08-30,4720 RANDOLPH,LINCOLN,LANCASTER,HEATING OIL,8824,TABITHA HEALTH CARE
AP8828,5,C&NW YARD ORPHAN,700 WASHINGTON AVE,NORFOLK,NE,68701,14,1996-10-18,700 WASHINGTON AVENUE,NORFOLK,MADISON,HEATING OIL,8828,C&NW YARD ORPHAN TANK
