SPILLNO-------,S,OWNCO--------------------,OWNSTREET-----------,OWNCITY-------------,OS,OZIP,TY,DIDATE----,SPLOC     -------------------------,SPCITY-------------------,SPCOUN-------------------,MATERIAL----------------------,SFM_ID--,FAC_NAME-----------------
092609-JB-2059,5,TYSON FOODS INC,1500 PLUM CREEK PKWY,LEXINGTON,NE,68850,9,2009-09-26,1500 PLUM CREEK PKWY,LEXINGTON,DAWSON,ANHYDROUS AMMONIA,NONE,TYSON FOODS INC
092611-PH-0829,5,NASH FINCH,4228 S 72ND,OMAHA,NE,68127,1,2011-09-25,4228 S 72ND,OMAHA,DOUGLAS,DIESEL FUEL,NONE,NASH FINCH
092612-JB-1045,5,UPRR,4601 W FRONT ST,NORTH PLATTE,NE,69101,2,2012-09-26,BAILEY: DIESEL SHOP,NORTH PLATTE,LINCOLN,DIESEL FUEL,NONE,BAILEY: DIESEL SHOP
092613-DB-1208,5,AMERICAN FOODS GROUP,500 S WASHINGTON ST,GREEN BAY,WI,54301,9,2012-10-19,3302 HARLAN LEWIS RD,BELLEVUE,SARPY,HYDRAULIC OIL,NONE,LINK SNACKS
092614-JB-1235,5,BKEP MATERIALS,4310 E 60TH AVE,COMMERCE CITY,CO,80022,2,2014-09-26,4112 N ACADEMY ROAD,GRAND ISLAND,HALL,ASPHALT CEMENT,NONE,BKEP MATERIAL
09266-CCC-1000,5,PAYLESS CASHWAY,33 & PIONEER,LINCOLN/LANCASTER,NE,68516,1,1986-09-26,33 &PIONEERS,LINCOLN,LANCASTER,DIESEL OIL,,PAYLESS CASHWAY
09266-JCL-1027,5,KELLOGG COMPANY,1 KELLOGG SQUARE,BATTLE CREEK,MI,49016,7,1986-09-27,9601 F ST,OMAHA,DOUGLAS,#6 FUEL OIL,5966,KELLOGG'S PLANT
09268-BM--0952,5,WILLIAMS PIPELINE,"705 E 41ST ST., #180",SIOUX FALLS,SD,57105,8,1988-09-26,"NW1/4,SEC 17, T9N, R9W",DONIPHAN,HALL,#2 FUEL OIL,NONE,WILLIAMS PL: DONIPHAN
09269-DBH-0800,5,COLUMBUS CITY SCHOOLS,2200 26TH STREET,COLUMBUS,NE,68601,14,1989-09-25,1661 25TH AVE,COLUMBUS,PLATTE,FUEL OIL,8766,COLUMBUS CITY SCHOOLS
09269-KSA-1000,9,ELMERS OIL AND REPAIR,"1229N.HACKBERRY,#113",WAHOO,NE,68066,7,1989-09-22,HWY 92 & WESTON EXIT,WESTON,SAUNDERS,GASOLINE AND DIESEL,3577,ELMERS OIL AND REPAIR
09269-KSA-1300,5,KIMBALL CO HIGHWAY DEPT,214 SO WALNOT,KIMBALL,NE,69145,7,1989-04-03,BUSHNELL YARD,BUSHNELL,KIMBALL,DIESEL,7554,KIMBALL CO HIGHWAY DEPT
092691-SB-0300,5,LUEDER CONSTRUCTION,9999 J ST,OMAHA,NE,68127,7,1991-09-25,10005 J ST,OMAHA,DOUGLAS,DIESEL GAS WASTE OIL,2417,LUEDEN CONSTRUCTION
092694-GW-1515,6,DAILEY TRUST (FORMERLY),,,,,7,1994-01-06,3RD AND O SE CRNR OF BLK,LINCOLN,LANCASTER,PETROLEUM,5887,SECOND CHANCE/DAILEY TRUS
092694-JB-1005,6,27TH & B,,,,,7,1994-09-23,27TH AND B,SCOTTSBLUFF,SCOTTS BLUFF,GASOLINE,11255,UNKNOWN
092694-QK-0900,6,RONS SERVICE,BOX 129,HOSKINS,NE,68740,7,1993-08-06,1ST AND MAIN,HOSKINS,WAYNE,GASOLINE,6206,RON'S SERVICE
092695-CT-1035,8,KWIK SHOP,PO BOX 1927,HUTCHINSON,KS,67504,7,1995-06-20,402 GALVIN RD,BELLEVUE,SARPY,GASOLINE,637,KWIK SHOP 629
092695-GW-1030,5,RITEWAY OIL & GAS CO INC,8400 I ST,OMAHA,NE,68127,7,1995-09-25,4219 N 60TH ST,OMAHA,DOUGLAS,GASOLINE,2926,KERR MCGEE STATION
092695-JB-0845,5,BNSF RR,201 NO 7TH,LINCOLN,NE,68508,9,1995-09-26,BNRR YARD,FALLS CITY,RICHARDSON,#2 DIESEL FUEL,NONE,BNSF RR FALLS CITY YARD
092695-NM-0811,5,GAS N SHOP INC,PO BOX 81463,LINCOLN,NE,60501,7,1995-08-14,3201 WEST O STREET,LINCOLN,LANCASTER,GASOLINE,1041,GAS N SHOP11
092696-KM-1120,5,BNSF,800 W. KANSAS,ALLIANCE,NE,69301,2,1996-09-26,405 TRACK ALLIANCE YARD,ALLIANCE,BOX BUTTE,DIESEL,,BNSF RR
092696-KM-1136,5,LITZENBERG CNTY MEM HOSP,R 2 BOX 1,CENTRAL CITY,NE,68826,7,1996-09-26,1715 26TH ST,CENTRAL CITY,MERRICK,DIESEL,10721,LITZENBERG MEMORIAL HOSPI
092697-GW-1330,9,UNKNOWN,,,,,7,1991-06-28,NORTH END OF TOWN,CORNLEA,PLATTE,GASOLINE,8188,CORNLEA GARAGE
092697-GW-1345,9,CORNLEA GARAGE,RT 1 BOX 300,CORNLEA,NE,68642,7,1991-06-28,NORTH OF TOWN,CORNLEA,PLATTE,GASOLINE AND DIESEL,8188,CORNLEA GRARAGE
092697-KM-1520,5,C & K MILK TRANSFER,BOX 67,DILLER,NE,68342,1,1997-09-26,NORTH END TANK,BEATRICE,GAGE,DIESEL,,
092697-KM-1542,5,WILLIAMS PIPELINE COMPANY,8001 COLLEGE BLVD,OVERLAND PARK,KS,66210,6,1997-09-26,READ ST FAC 16TH & READ,OMAHA,DOUGLAS,DIESEL FUEL,,
092697-KM-1609,9,RIVERDALE SERVICE,3RD & ELM,RIVERDALE,NE,68870,7,1997-09-26,3RD & ELM NE CORNER,RIVERDALE,BUFFALO,GASOLINE,4829,RIVERDALE SERVICE
092699-SM-2140,5,FARMLAND INDUSTRIES,"RR 3, BOX 666",BEATRICE,NE,68310,9,1999-09-26,"5 M WEST, 2 M NORTH",BEATRICE,GAGE,NITRIC ACID,NONE,FARMLAND INDUSTRIES
09270-DWT-0835,5,SEAGATE,11615 I ST,OMAHA,NE,68137,6,1990-09-27,11615 I ST,OMAHA,DOUGLAS,CONC SULPHURIC ACID,,
092701-GW-0837,8,MR SUDS CAR WASH,PO B0X 31278,OMAHA,NE,68131,7,2001-09-07,404 S SADDLE CRK RD,OMAHA,DOUGLAS,GASOLINE,4026,MR SUDS
092701-NH-1900,5,DCI TRANSPORTATION,6150 ROBERTS-MATTHEW,SPARTA,TN,38583,1,2001-09-27,I-80 REST AREA 2 MI W YORK,YORK,YORK,ETHYLENE GLYCOL (ANTIFREEZE),NONE,DCI TRANSPORTATION
092701-QK-1555,5,NPPD,"BOX 499,1414 15TH ST",COLUMBUS,NE,68601,15,2001-09-27,"GERALD GENTLEMAN PLNT, S SIDEQ",SUTHERLAND,LINCOLN,NON-PCB TRANSFORMER OIL,NONE,GERALD GENTLEMAN PLANT
092704-NH-1220,R,ENTERPRISE PRODUCT CO,2727 N LOUP W,HOUSTON,TX,77210,4,2004-09-27,14248 RD P16,BLAIR,WASHINGTON,ANHYDROUS AMMONIA,NONE,14248 ROAD P16 PIPELINE
092704-SM-0522,5,BNSF RR,2600 LOU MENK DR,FT WORTH,TX,76121,2,2004-09-27,1/2 MI E OF CRNHSKER AMMO PLNT,GRAND ISLAND,HALL,LUBE OIL,NONE,"BNSF LINE, 6 MI W GR ISLA"
092706-JB-1050,5,TRIPLE L TRUCKING,2030 LOVETT AVE,BISMARCK,ND,58504,,2006-09-26,HWY 8 & 75 INTERSECTION,SALEM,RICHARDSON,DIESEL FUEL/MOTOR OIL,,TRIPLE L TRUCKING
092707-NH-1030,5,TERRA NITROGEN,P O BOX 365,BLAIR,NE,68008,9,2007-09-27,250 INDUSTRIAL DRIVE,BLAIR,WASHINGTON,ANHYDROUS AMMONIA,,TERRA NITROGEN
092710-KM-1547,5,KOCH NITROGEN,21178 SW 89TH RD,BEATRICE,NE,68310,12,2010-09-27,21178 SW 89TH RD,BEATRICE,GAGE,AMMONIA,NONE,KOCH NITROGEN
092711-JB-1730,5,UPRR,4601 W FRONT ST,NORTH PLATTE,NE,69101,9,2011-09-27,NEAR WASTEWATER TRT PLANT,NORTH PLATTE,LINCOLN,DIESEL FUEL/WATER MIXTURE,NONE,UPRR - NEAR WWTP
092712-KM-1455,1,,,,,,7,2012-09-27,9409 MAIN ST,RALSTON,DOUGLAS,PETROLEUM,,J & M RALSTON GRANARY
092713-SM-1502,5,UPRR,4601 W FRONT ST,NORTH PLATTE,NE,68101,2,2013-09-26,BAILEY: E DEPT YARD,NORTH PLATTE,LINCOLN,DIESEL FUEL,NONE,BAILEY: E DEPARTURE
09273-TSK-0815,9,LEIGH OIL CO,211 FIRST STREET,CLARKSON,NE,68629,7,1983-09-23,228 MAIN STREET,LEIGH,COLFAX,GASOLINE,7633,LEIGH OIL
09278-BTB-1320,5,NEBR PUBLIC POWER DIST,P.O. BOX 499,COLUMBUS,NE,68601,9,1988-09-27,SHELDON STATION,HALLAM,LANCASTER,SULFURIC ACID (CONCENTRATED),NONE,SHELDON STATION
09278-DBH-1500,5,"OPPD #2,IRVINGTON",,,,,7,,PER SFM - 10407 STATE ST ?,OMAHA,DOUGLAS,,568,"OPPD #2,IRVINGTON"
09279-DWT-0000,5,OMAHA PUBLIC SCHOOLS,4041 N 72 ST,OMAHA,NE,68134,14,1989-06-27,7902 N 36 ST,OMAHA,DOUGLAS,FUEL OIL,8594,FLORENCE ELEM SCHOOL
09279-DWT-1100,5,RICHLAND GRAIN CO.,190 E. FRONT ST.,RICHLAND,NE,68601,7,1989-09-05,RICHLAND GRAIN CO.,RICHLAND,COLFAX,GAS,3182,RICHLAND GRAIN CO.
09279-KAM-0830,5,CITY OF WISNER #1,P.O. BOX 367,WISNER,NE,68791,7,1989-09-25,(CITY POLE YARD) 1003 AVE. D,WISNER,CUMING,GASOLINE,4452,CITY OF WISNER #1
092791-CT-1015,8,YELLOW FREIGHT,10990 ROE AVE,OVERLAND PARK,KS,66207,7,1991-09-26,4480 S 90TH ST,OMAHA,DOUGLAS,DIESEL,1115,YELLOW FREIGHT SYSTEM
092791-SB-1100,5,SEAGATE TECHNOLOGY,11615 I STREET,OMAHA,NE,68137,9,1991-09-27,11615 I STREET,OMAHA,DOUGLAS,PHOSPHORIC ACID,,SEAGATE TECHNOLOGY
092791-SM-0245,5,UPRR,1416 DODGE ST,OMAHA,NE,68179,2,1991-09-27,E END OF E BOWL TRIM TRACK #2,NORTH PLATTE,LINCOLN,#2 DIESEL FUEL,,BAILEY: E END OF E BOWL
092793-CT-1050,T,BOSSELMAN INC,PO BOX 1567,GRAND ISLAND,NE,68802,7,1993-06-08,704 W 2ND ST,GRAND ISLAND,HALL,GASOLINE & DIESEL,415,PUMP & PANTRY # 11
092793-CT-1550,8,RITEWAY OIL & GAS CO INC,8400 I ST,OMAHA,NE,68127,7,1993-09-02,4114 S 84TH,OMAHA,DOUGLAS,GAS AND WASTE OIL,2881,APCO SPEEDY MART
092793-JF-1400,6,CONVENIENCE PLUS PARTNERS,1055 AURARIA PKWY,DENVER,CO,80204,13,1992-07-28,1927 BROADWAY,MITCHELL,SCOTTS BLUFF,GASOLINE,2090,CONVENIENCE PLUS
092793-KM-1506,5,OFFUTT A F B,55 CES/CEV,BELLEVUE,NE,68113,1,1993-09-27,NEAR BLDG. 531,OFFUTT AFB,SARPY,DIESEL,,
092793-KM-1610,5,CASEYS GENERAL STORE,,ANKENY,IA,50021,7,1993-09-25,HWY 77 & H STREET,WYMORE,GAGE,GASOLINE,8266,
092793-NM-1210,5,CITY OF OMAHA,2608 LAKE ST,OMAHA,NE,68111,7,1993-07-27,"6880 Q"" ST""",OMAHA,DOUGLAS,GASOLINE & DIESEL,289,SEWER MAINT DIVISION
092793-NM-1330,7,SWANSON MOTORS,MAIN ST,DECATUR,NE,68020,7,1993-04-12,MAIN STREET,DECATUR,BURT,GASOLINE,4301,SWANSON MOTORS
092793-NM-1335,5,ST JOHNS LCMS CH & SCHOOL,919 N COLUMBIA,SEWARD,NE,68434,7,1993-07-06,919 N COLUMBIA,SEWARD,SEWARD,HEATING OIL,8755,ST JOHNS LUTHERAN CH/SCHL
092794-GW-1120,2,DIXON COUNTY FEEDLOT,RR1 BOX 156,ALLEN,NE,68710,7,1994-09-08,W HWY 20,ALLEN,DIXON,GASOLINE,5497,DIXON COUNTY FEEDYARD CO
092794-GW-1630,3,ACORN FERTILIZER,,,,,7,1991-07-02,301 LOGAN AVE,OAKLAND,BURT,GASOLINE DIESEL,6118,TERRA INTERNATIONAL INC
092795-GY-0950,5,NPPD,PO BOX 499,COLUMBUS,NE,68601,9,1995-09-27,COOPER NUCLEAR STATION,BROWNVILLE,NEMAHA,ETHYLENE GLYCOL,,
092795-JB-1205,5,SAFETY CLEAN CORP,3515 SO 139TH,OMAHA,NE,68144,9,1995-09-26,3515 SO 139TH,OMAHA,DOUGLAS,MINERAL SPIRITS,,
092795-JB-1525,5,BNRR,201 NORTH 7TH,LINCOLN,NE,68508,9,1996-09-26,HWY 6 & RR DEPOT,FAIRMONT,FILLMORE,DIESEL,,
092795-KM-1111,5,AT&T,PO BOX 37000,OMAHA,NE,68137,9,1995-09-25,120TH & I,OMAHA,DOUGLAS,HCL,,
092796-GB-1100,5,SOUTHEAST NEBRASKA COOP,PO BOX 247,BEATRICE,NE,68310,1,1996-06-04,3 MILES E OF LEWISTON,LEWISTON,PAWNEE,BICEP,,SOUTHEAST NEBRASKA COOP
092798-KM-1310,5,FARMLAND INDUSTRIES,S. HWY 103,CRETE,NE,68333,12,1998-09-27,3 MILES SOUTH OF CRETE,CRETE,SALINE,AMMONIA,,
092798-KM-1805,5,UPRR,4601 W. FRONT STREET,NORTH PLATTE,NE,69101,2,1998-09-27,8 MI WEST OF ODESSA,ELM CREEK,BUFFALO,#2 DIESEL FUEL,NONE,UPRR TRACKS-NEAR ODESSA
092799-NH-1015,5,BNSF RAILROAD,201 N 7TH STREET,LINCOLN,NE,68508,2,1999-09-26,HOBSON YARD-FUELING AREA,LINCOLN,LANCASTER,LUBE OIL,,BNSF RAIL ROAD
09280-DWT-1530,5,SWIFT ECKRICH INC,4433 S 94TH,OMAHA,NE,68127,12,1990-09-22,4433 S 94TH ST,OMAHA,DOUGLAS,ANHYDROUS AMMONIA,,
092801-GW-1320,3,"BUD MOORE, INC",930 280TH ST,SEWARD,NE,68434,7,2001-09-26,"930 280TH ST, SE I80 & HWY 15",SEWARD,SEWARD,"GASOLINE, DIESEL",673,SEWARD SHOP EZ
092801-KM-1313,5,CORNHUSKER PUBL POWER DIS,PO BOX 9,COLUMBUS,NE,68602,9,2001-09-28,33400 145TH AVENUE,COLUMBUS,PLATTE,PCB TRANSFORMER OIL,NONE,CORNHUSKER PUBL POW DIST
092802-ML-1447,5,WEATHERCRAFT MFG,"540 J"" STREET""",LINCOLN,NE,68508,11,2002-09-28,"3RD AND J"" STREETS""",LINCOLN,LANCASTER,TIRE FIRE,NONE,WEATHERCRAFT MFG
092804-NH-1100,R,FARMERS CO-OP,PO BOX 70,WAVERLY,NE,68462,9,2004-09-28,11400 N 148TH,WAVERLY,LANCASTER,10-34-0 FERTILIZER,NONE,FARMERS CO-OP CO
092805-NM-1000,5,OFFUTT A F B,106 PEACEKEEPER DR,OFFUTT A F B,NE,68113,9,2004-06-10,BUILDING 518,OFFUTT AFB,SARPY,JET FUEL,NONE,OFFUTT A F B
092805-TH-1130,5,21ST CENTURY LAND LLC,"RR1, BOX 61",BRIDGEPORT,NE,69336,7,2005-09-28,230316 HIGHLAND RD,SCOTTSBLUFF,SCOTTS BLUFF,GASOLINE,863,THE MERCANTILE
092806-NM-1005,2,,,,,,10,2006-04-03,W OF GRIMES AVE & MILLER ST,HEMINGFORD,BUX BUTTE,GASOLINE,NONE,DEAVER GRAIN COMPANY
092806-NM-1015,5,BOLTE OIL & SUPPLY INC.,712 HILLCREST DRIVE,SEWARD,NE,68434,6,2006-04-08,SE INTERSEC S 14TH & MAIN ST,SEWARD,SEWARD,UNKNOWN,NONE,BNSF LEASE
092806-SM-1858,5,UPRR,4601 W FRONT STREET,NORTH PLATTE,NE,69101,2,2006-09-28,"BAILEY YARD, WEST BOWL",NORTH PLATTE,LINCOLN,ETHANOL,NONE,BAILEY: WEST BOWL
092807-SM-0833,2,CORDES & COMPANY,5299 DTC BLVD SU 815,GREENWOOD VILLAGE,CO,80111,7,2007-08-02,2801 NW 48TH ST,LINCOLN,LANCASTER,GASOLINE,7692,MICHAEL MART
092808-NH-1145,5,UPRR,4601 W FRONT ST,NORTH PLATTE,NE,69101,15,2008-09-28,MP 144.4 COLUMBUS SUB,GRAND ISLAND,HALL,HYDRAULIC OIL,NONE,UPRR TRCK: MP 144.4
092809-ML-1357,5,ABEL INC,23663 242 AVE,COLUMBUS,NE,68601,1,2009-09-28,"I-680 WB, 42ND ST",OMAHA,DOUGLAS,FERTILIZER (NITROGEN/PHOSPHOR),,FERT REL I-680 WB @ 42ND
092809-TH-1135,5,,,,,,7,2009-08-14,1512 11TH ST,NEBRASKA CITY,OTOE,HEATING OIL,12460,MCDONALDS
092810-SM-1919,R,UNKNOWN,,,,,8,2010-09-28,"S TABLE CREEK, 11TH ST DOWNSTR",NEBRASKA CITY,OTOE,WHITE PARTICULATE,NONE,S TABLE CREEK
092810-TH-0730,5,GEALY NUSS & HARTL,327 E 37TH ST,SCOTTSBLUFF,NE,69361,7,2010-09-27,675 SIDNEY CHASE DR,SIDNEY,CHEYENNE,GASOLINE,12061,SHAMROCK
092812-DB-1447,T,NDOR,5001 S 14TH ST,LINCOLN,NE,,7,2012-09-05,772 N 1ST ST,TECUMSEH,JOHNSON,WASTE OIL,,NDOR - EAST MAINT FAC
09287-BHI-1150,5,CHEM LAWN,14554 GROVER,OMAHA,NE,68144,1,1987-09-28,72ND & MAPLE THRU 30TH & AMES,OMAHA,DOUGLAS,SEVIN-SL SOLUTION,,
09288-DBH-0830,6,"UNK, 1920 C ST",,,,,14,1988-09-28,1920 C ST,LINCOLN,LANCASTER,HEATING OIL,NONE,UNK
09289-DWT-1300,2,EITEMILLER OIL CO,PO BOX 1039,CHADRON,NE,69337,7,1989-05-09,3RD & BORDEAUX,CHADRON,DAWES,GAS,935,EITEMILLER OIL CO
09289-DWT-1400,5,LOHR PETROLEUM,2801 13TH,COLUMBUS,NE,68601,7,1989-05-12,ELM & 92 SHELBY LUMBER,SHELBY,POLK,GAS,5452,LOHR PETROLEUM
09289-DWT-1430,5,SHELBY COOP,HWY 81-92 BOX 38,SHELBY,NE,68622,7,1989-09-28,COOP HWY 92&WALNUT,SHELBY,POLK,DIESEL/KEROSINE,5007,SHELBY COOP
09289-DWT-1500,5,PLEASANT DALE LUMBER,BOX 7,PLEASANT DALE,NE,68423,7,1989-05-31,121 MAIN,PLEASANT DALE,SEWARD,GAS,3727,PLEASANT DALE LUMBER
09289-KSA-1300,5,UNKNOWN-OSHKOSH AUTO SALE,,,,,7,1989-03-30,223 MAIN ST.,OSHKOSH,GARDEN,GASOLINE,7953,UNKNOWN-OSHKOSH AUTO SALE
09289-KSA-1400,5,GROSKOPF OIL CO.,MADISON & WEBSTER ST,MORRILL,NE,69358,7,1989-08-02,MADISON & WEBSTER ST.,MORRILL,SCOTTS BLUFF,UNLEADED AND REGULAR GAS,514,GROSKOPF OIL CO.
092891-DT-2200,5,COOP DUNBAR,BOX 159,NEHAWKA,NE,68413,6,1991-09-28,NE CORNER DUNBAR OFF 67,DUNBAR,OTOE,28% UAN,,
092892-TH-0939,5,WEBSTER WELL INC,1ST & ANN STREET,MORSE BLUFF,NE,68648,7,1992-09-25,SW CRNR 1ST & ANN ST,MORSE BLUFF,DODGE,GASOLINE,7239,WEBSTER WELL INC
092893-99-0000,5,FIRST UNITED METHODIST CH,7020 CASS ST,OMAHA,NE,68132,7,1993-07-19,"7020 CASS - 10,000 GALLON",OMAHA,DOUGLAS,HEATING OIL,8701,FIRST UNITED METHODIST CH
092894-QK-1615,5,OPPD,444 SO. 16TH,OMAHA,NE,68102,6,1994-09-28,NEBRASKA CITY STATION,NEBRASKA CITY,OTOE,#2 DIESEL,,OPPD
092895-KM-1250,2,UNKNOWN,,,,,7,1995-09-27,909 ILLINOIS,SIDNEY,CHEYENNE,"PETROLEUM, UNK",11408,EWELL MOTORS LEASE & RENT
092895-ML-0700,5,AGRIUM,RR 3,BEATRICE,NE,68310,9,1995-09-28,1 MILE NE OF HOMESTEAD,BEATRICE,GAGE,NITRIC ACID,,AGRIUM
092895-QK-1330,5,COASTAL MART,9 GREENWAY PLAZA,HOUSTON,TX,77046,7,1995-09-27,1604 ILLINOIS,SIDNEY,CHEYENNE,GASOLINE,3073,COASTAL MART #1350
092897-JB-2210,5,UNION PACIFIC RAILROAD,4601 W. FRONT STREET,NORTH PLATTE,NE,69101,9,1997-09-28,WEST RECEIVING TRACK 5,NORTH PLATTE,LINCOLN,ANHYDROUS AMMONIA,,
092898-DB-1000,5,MAPCO AMMONIA PIPELINE CO,8001 COLLEGE BLVD,OVERLAND PARK,KS,66210,9,1998-09-15,1 1/8 MI W OF GREENWOOD HWY 6,GREENWOOD,LANCASTER,ANHYDROUS AMMONIA,,
092899-KM-1504,5,ALIANT (ALLTELL),PO BOX 81309,LINCOLN,NE,68501,15,1999-07-19,6127 M STREET,OMAHA,DOUGLAS,HYDRAULIC OIL,NONE,TRUCK SPILL ON STREET
092900-KM-1310,5,BNSFR - MILLER BULK OIL,80 - 44TH AVE NE,MINNEAPOLIS,MN,55421,6,2000-09-29,"212 RAILWAY, W SIDE",SCOTTSBLUFF,SCOTTS BLUFF,"DIESEL, GASOLINE, KEROSENE",6741,MILLER BULK OIL
092900-QK-0845,5,LINCOLN ELECTRIC SYSTEM,PO BOX 80869,LINCOLN,NE,68501,9,2000-09-28,5922 VANDERVOORDT,LINCOLN,LANCASTER,TRANSFORMER OIL (PCB-FREE),NONE,LES
092904-TH-0925,5,PLATTE COUNTY WEED CONTRL,PO BOX 151,PLATTE CENTER,NE,68653,7,2004-08-27,26631 310TH ST,PLATTE CENTER,PLATTE,"DIESEL, GASOLINE",12228,PLATTE COUNTY WEED CONTRL
092905-NH-0900,5,WATTS ELECTRIC,3211 NW 39TH,LINCOLN,NE,68524,15,2005-09-28,"ROAD I"" 3/4 MILE E OF RD 3""",ASHLAND,SAUNDERS,DIESEL FUEL,NONE,MUD WELLFIELD
092905-TH-0800,5,RAYMOND CENTRAL PUBL SCH,1800 W AGNEW RD,RAYMOND,NE,68428,7,2005-07-12,1800 W AGNEW RD,RAYMOND,LANCASTER,DIESEL,3954,RAYMOND CENTRAL JR/SR HIG
092906-QK-1600,5,OPPD,444 S 16TH ST MALL,OMAHA,NE,68102,9,2006-09-29,OPPD 1/2 MI S OF HY 50 ON HY 2,SYRACUSE,OTOE,HYDRAULIC OIL (DEXTRON II ATF),NONE,OPPD - SYRACUSE FACILITY
092906-SM-0425,5,UPRR,4601 W FRONT ST,NORTH PLATTE,NE,69101,2,2006-09-29,BAILEY: VAN YARD,NORTH PLATTE,LINCOLN,DIESEL FUEL,NONE,BAILEY: VAN YARD
092911-JB-1750,5,,,,,,1,2011-09-29,CR 424 & RR XING,COZAD,DAWSON,DIESEL FUEL,NONE,UPRR TRKS: CR 424 XING
092911-PH-1804,9,,,,,,7,2011-09-29,417 W MAIN ST,SARGENT,CUSTER,GASOLINE,NONE,ABBOTT EMPORIUM BLDG
092913-JB-1240,5,KWIK SHOP INC,PO BOX 1927,HUTCHINSON,KS,67504,7,2013-09-29,5306 N 103RD ST,OMAHA,DOUGLAS,GASOLINE,697,KWIK SHOP
092914-TH-0735,5,KIMPLE OIL CO,235 E 7TH ST,MINDEN,NE,68959,7,2014-07-21,1503 N BROWN AVENUE,MINDEN,KEARNEY,"GASOLINE, DIESEL",1360,KIMPLE OIL CO
092914-TH-1053,5,,,,,,7,2014-08-05,1502 16TH ST,AURORA,HAMILTON,UNKNOWN,3154,CASEYS GENERAL TANK SITE
092914-TH-1435,5,,,,,,7,2014-07-29,235 S CODDINGTON,LINCOLN,LANCASTER,GASOLINE,12628,DELISI BROS TANK SITE
092914-TH-1440,5,CASEYS GENERAL STORES,PO BOX 3001,ANKENY,IA,50021,7,2014-07-10,1118 8TH ST,COLUMBUS,PLATTE,GASOLINE,7050,CASEYS GENERAL STORE 3089
092914-TH-1531,5,NORTH PLATTE PUBL SCHOOLS,PO BOX 1557,NORTH PLATTE,NE,69101,7,2014-05-20,3900 WEST A STREET,NORTH PLATTE,LINCOLN,DIESEL,11542,EISENHOWER ELEM SCHOOL
092914-TH-1640,5,,,,,,7,2014-06-18,454 2ND STREET,DODGE,DODGE,GASOLINE,1261,DODGE MFG COMPANY
09297-BHI-1300,9,KONECKY OIL,RR 1,MEAD,NE,68041,7,1987-03-25,MEAD,MEAD,SAUNDERS,GASOLINE,3955,KONECKY OIL
09297-NEW-1400,6,SEGER OIL,P.O. BOX 510,O'NEILL,NE,68763,7,1987-09-29,HWY 20 & 183,BASSETT,ROCK,GASOLINE,6872,SEGER OIL
09298-DDB-1305,5,FISH CARBURETOR & TUNE UP,201 N 19 ST,LINCOLN,NE,68503,7,1988-09-29,201 N 19 ST,LINCOLN,LANCASTER,GASOLINE,5397,FISH CARBURETOR & TUNE UP
092988-TH-1155,5,OMAHA HOUSING AUTHORITY,540 S 27TH,OMAHA,NE,68105,7,1988-09-29,1500 N 22ND,OMAHA,DOUGLAS,FUEL OIL,,LOGAN-FONTENELLE HOMES
092989-JF-0025,6,FAMILY CAMPER CENTER,105 S HWY 50,SPRINGFIELD,NE,68059,7,1989-08-15,105 S HWY 50,SPRINGFIELD,SARPY,,2704,FAMILY CAMPER CENTER
092989-99-0000,5,CASS CO DEPT OF ROADS,PO BOX 157,PLATTSMOUTH,NE,68048,7,1989-07-12,CASS COUNTY SHOP,AVOCA,CASS,DIESEL,49,CASS CO DEPT OF ROADS
092989-99-0001,5,CAPITAL TIRE (FORMER),3221 N 90TH ST,OMAHA,NE,,7,1989-07-10,3221 N 90TH ST,OMAHA,MADISON,WASTE OIL,8046,CAPITAL TIRE (FORMER)
092989-99-0002,5,STYLESETTER HOMES INC.,14825 INDUSTRIAL RD,OMAHA,NE,,7,1989-08-11,14825 INDUSTRIAL RD,OMAHA,DOUGLAS,GAS & DIESEL,1930,STYLESETTER HOMES INC.
092989-99-0003,5,SOUTH HARDWARE,5447 S 24TH ST,OMAHA,NE,68134,7,1989-08-04,5447 S 24TH ST,OMAHA,DOUGLAS,KEROSENE,1893,SOUTH HARDWARE
092989-99-0004,5,US CHECKBOOK,1201 S 16TH ST,OMAHA,NE,68103,7,1989-07-12,1201 S 16TH ST,OMAHA,DOUGLAS,MINERAL SPIRITS,2459,US CHECKBOOK
092989-99-0005,5,HAMPTON ALIGNMENT,"314 WEST B"" ST""",MCCOOK,NE,69001,7,1989-03-29,314 WEST B,MC COOK,RED WILLOW,GAS & DIESEL,4747,HAMPTON ALIGNMENT
092989-99-0006,5,CHAPPELL TEXACO,1016 E 2ND ST,CHAPPELL,NE,69129,7,,1016 E 2ND ST,CHAPPELL,DEUEL,,5478,CHAPPELL TEXACO
092989-99-0007,5,OMAHA PUBLIC SCHOOLS,3905 DAVENPORT,OMAHA,NE,,14,1998-07-06,4845 CURTIS AVE,OMAHA,DOUGLAS,#2 DIESEL OIL,8614,OMAHA PUBLIC SCHOOLS
092989-99-0008,5,OMAHA PUBLIC SCHOOLS,4041 NO. 72NT ST,OMAHA,NE,68134,14,1989-06-26,4370 HAMILTON ST,OMAHA,DOUGLAS,#2 DIESEL OIL,8615,WALNUT HILL ELEMENTARY
